 latitude longitude depth year month day hour minute second magnitude
30.960706  103.352529    18.804   2008  5 12  6 28  0.390 7.4 
 31.264712  103.534546     9.289   2008  5 12  7 34 44.360 5.4 
 31.320565  103.764131    19.019   2008  5 12  7 45 35.760 4.7 
 31.778191  104.221167     6.622   2008  5 12  8  3  0.190 4.4 
 31.144631  103.482936    18.396   2008  5 12  8 11  0.090 4.9 
 31.224255  103.681124    10.788   2008  5 12  8 18 51.030 4.2 
 31.471692  103.919462    22.346   2008  5 12  8 26 15.960 4.9 
 31.229553  103.566313    18.226   2008  5 12  9  7  2.770 5.0 
 30.859107  103.198968    12.471   2008  5 12  9 34 56.660 4.1 
 31.544692  103.997013    17.504   2008  5 12  9 42 27.770 5.4 
 30.926978  103.206618    18.922   2008  5 12  9 54 52.250 4.2 
 30.930481  103.277570    15.349   2008  5 12 10 23 42.070 5.2 
 31.003107  103.290120    10.577   2008  5 12 10 57 49.750 3.8 
 31.276959  103.430415    13.166   2008  5 12 11 11  2.720 6.0 
 31.422137  103.475528     9.266   2008  5 12 11 20 24.370 3.7 
 31.250351  103.803901    20.458   2008  5 12 11 28 38.640 4.5 
 32.608734  105.377984    14.262   2008  5 12 11 33 19.800 4.7 
 32.356375  105.001019    21.380   2008  5 12 11 41 12.060 4.8 
 32.237611  104.881805    10.545   2008  5 12 11 45 17.880 4.3 
 31.228772  103.721478    19.527   2008  5 12 12  1 53.370 4.1 
 32.555311  105.255801     9.073   2008  5 12 12  4 41.000 4.6 
 31.350601  103.483783    14.441   2008  5 12 12 13 48.990 4.8 
 31.375459  103.887581    15.855   2008  5 12 12 29 59.330 4.3 
 30.875767  103.254740    15.624   2008  5 12 12 37 46.060 3.8 
 31.165013  103.570143    11.225   2008  5 12 12 50 14.790 3.8 
 31.028510  103.245829    18.833   2008  5 12 12 58 48.020 4.0 
 31.070532  103.493544    13.972   2008  5 12 13  0 17.100 4.0 
 31.011843  103.245533    15.877   2008  5 12 13  2  5.130 4.3 
 30.928851  103.226664    20.772   2008  5 12 13  6  0.320 3.3 
 31.140497  103.444519    18.606   2008  5 12 13  7 17.240 4.0 
 30.994628  103.355398    18.680   2008  5 12 13 14 16.900 3.2 
 31.341233  103.739815    18.688   2008  5 12 13 16 25.130 3.9 
 31.060260  103.496984    33.298   2008  5 12 13 26 51.580 4.2 
 31.271161  103.873106    21.342   2008  5 12 13 32 13.820 4.2 
 31.205970  103.570781    13.157   2008  5 12 13 33 53.990 3.7 
 31.164282  103.429363    10.514   2008  5 12 13 35  6.030 4.0 
 31.035925  103.377826    14.698   2008  5 12 13 40 56.020 5.3 
 30.927160  103.272855    15.505   2008  5 12 13 50 17.130 3.9 
 31.635525  104.065889    17.605   2008  5 12 14 23 42.470 3.8 
 31.396358  103.796754    20.488   2008  5 12 14 26 17.890 3.6 
 30.917159  103.278687    14.392   2008  5 12 14 37 50.160 3.9 
